Seg	timestamp	Acq. time, min	Polarity	Detector	Range
0.51	0	0-0.5	Neg	LTQ	100-2000
0.55	0.51	0.54-1.04	Neg	LTQ	500-1000
0.65	1.06	1.19-1.69	Pos	LTQ	100-2000
0.55	1.71	1.74-2.24	Pos	LTQ	500-1000
0.65	2.26	2.39-2.89	Neg	LTQ	100-2000
0.55	2.91	2.94-3.44	Neg	LTQ	500-1000
0.65	3.46	3.59-4.09	Pos	LTQ	100-2000
0.55	4.11	4.14-4.64	Pos	LTQ	500-1000
0.65	4.66	4.79-5.29	Neg	LTQ	100-2000
0.55	5.31	5.34-5.84	Neg	LTQ	500-1000
0.65	5.86	5.99-6.49	Pos	LTQ	100-2000
0.55	6.51	6.54-7.04	Pos	LTQ	500-1000
0.65	7.06	7.19-7.69	Neg	LTQ	100-2000
0.55	7.71	7.74-8.24	Neg	LTQ	500-1000
0.65	8.26	8.39-8.89	Pos	LTQ	100-2000
0.55	8.91	8.94-9.44	Pos	LTQ	500-1000
	9.46		Neg	LTQ	100-2000
